id,name,breed,age,gender,experience,status,other_dogs,cats,children,fur,food,exercise,special,size,protective,pic,profile
1,Ghost,Great Pyrenees,2,1,0,New,1,5,1,5,3,3,1,2,3,http://bigdogshugepaws.com/sites/default/files/u4728/Ghost%201.jpg,http://bigdogshugepaws.com/adoption/available-dogs/ghost-great-pyrenees-new-to-rescue-under-evaluation
2,Max,Great Dane,2,1,0,New,1,5,2,1,3,3,1,2,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_8988%20%281%29.jpg,http://bigdogshugepaws.com/adoption/available-dogs/max-great-dane-new-to-rescue-under-evaluation
3,Bugatti,Cane Corso,2,1,1,Medical Hold,1,3,3,1,3,2,1,2,3,http://bigdogshugepaws.com/sites/default/files/u4728/42790986_10212773622721490_5863680740536877056_o.jpg,http://bigdogshugepaws.com/adoption/available-dogs/bugatti-cane-corso-medical-hold-new-to-rescue-under-evaluation
4,Doris Day,Great Dane,1,0,1,New,1,3,3,1,3,3,2,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_4749.JPG,http://bigdogshugepaws.com/adoption/available-dogs/doris-day-great-dane-new-to-rescue-under-evaluation
5,Lanza ,Cane Corso,3,0,1,New,1,3,3,2,3,4,1,2,1,http://bigdogshugepaws.com/sites/default/files/u4728/45073266_10100473693117035_4644340113612996608_n.jpg,http://bigdogshugepaws.com/adoption/available-dogs/lanza-cane-corso-new-to-rescue-under-evaluation
6,Aubrey,Great Pyrenees,2,0,0,Bonded Pair,1,1,1,4,3,3,2,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/20181024_165824.jpg,http://bigdogshugepaws.com/adoption/available-dogs/aubrey-great-pyrenees-bonded-pair-new-to-rescue-under-evaluation
7,D'Asia,Great Pyrenees,2,0,0,Bonded Pair,1,1,1,4,3,3,2,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/20181024_170559.jpg,http://bigdogshugepaws.com/adoption/available-dogs/dasia-great-pyrenees-bonded-pair-new-to-rescue-under-evaluation
8,Gracie II,Bull Mastiff/Cane Corso,2,0,1,New,1,3,3,1,5,4,1,2,4,http://bigdogshugepaws.com/sites/default/files/u4728/facebook_1540420904820.jpg,http://bigdogshugepaws.com/adoption/available-dogs/gracie-ii-english-mastiffcane-corso-mix-new-to-rescue-under-evaluation
9,Lucius,Great Dane,3,1,0,New,1,3,3,1,3,2,2,2,1,http://bigdogshugepaws.com/sites/default/files/u4728/45027251_2212768622069381_5659175108233658368_n.jpg,http://bigdogshugepaws.com/adoption/available-dogs/lucifer-great-dane-new-to-rescue-under-evaluation
10,Gracie,Great Dane,1,0,1,New,1,3,2,1,3,3,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/44999816_10100159021861027_1403618810098876416_n.jpg,http://bigdogshugepaws.com/adoption/available-dogs/gracie-great-dane-new-to-rescue-under-evaluation
11,Dory,Cane Corso,2,0,0,New,3,3,3,2,3,3,1,2,4,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_1580.jpeg,http://bigdogshugepaws.com/adoption/available-dogs/dory-cane-corso-new-to-rescue-under-evaluation
12,Lux,English Mastiff,3,1,0,Available,3,5,1,2,3,2,1,3,4,http://bigdogshugepaws.com/sites/default/files/u4728/Lux%201.jpg,http://bigdogshugepaws.com/adoption/available-dogs/lux-english-mastiff-new-to-rescue-under-evaluation
13,Aristotle,Neapolitan Mastiff,2,1,1,New,1,3,3,2,3,3,2,2,2,http://bigdogshugepaws.com/sites/default/files/u4728/Lux%201.jpg,http://bigdogshugepaws.com/adoption/available-dogs/aristotle-neapolitan-mastiff-new-to-rescue-under-evaluation
14,Zena,Boerboel Mastiff ,2,0,0,New,1,3,1,2,3,3,1,2,2,http://bigdogshugepaws.com/sites/default/files/u4728/44088665_10214940861612674_7531498128772431872_o.jpg,http://bigdogshugepaws.com/adoption/available-dogs/zena-boerboel-mastiff-new-to-rescue-under-evaluation
15,Justice,English Mastiff,3,1,0,Medical Hold,1,3,1,2,2,2,2,3,2,http://bigdogshugepaws.com/sites/default/files/u4728/image2_7.jpeg,http://bigdogshugepaws.com/adoption/available-dogs/justice-english-mastiff-new-to-rescue-under-evaluation
16,Keila,English Mastiff,3,0,0,New,1,3,1,2,3,3,1,2,3,http://bigdogshugepaws.com/sites/default/files/u4728/image1%281%29_2.jpeg,http://bigdogshugepaws.com/adoption/available-dogs/keila-english-mastiff-new-to-rescue-under-evaluation
17,Tank,Cane Corso,2,1,1,New,1,1,1,1,3,3,1,2,2,http://bigdogshugepaws.com/sites/default/files/u4728/Tank%203%20-%20CC.jpg,http://bigdogshugepaws.com/adoption/available-dogs/tank-cane-corso-new-to-rescue-under-evaluation
18,Dozer II,Mastador,2,1,0,Medical Hold,1,1,1,3,2,2,1,3,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_4741.jpg,http://bigdogshugepaws.com/adoption/available-dogs/dozer-mastador-new-to-rescue-under-evaluation
19,Blue Bell,Great Dane,2,0,0,New,1,3,3,1,2,2,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_20180928_155749.jpg,http://bigdogshugepaws.com/adoption/available-dogs/blue-bell-great-dane-new-to-rescue-under-evaluation
20,Black Cherry,Great Dane Mix,1,0,1,Pending Adoption,1,1,1,2,3,3,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_20181003_152039.jpg,http://bigdogshugepaws.com/adoption/available-dogs/black-cherry-great-dane-mix
21,Butter Crunch,Great Dane Mix,1,1,1,Pending Adoption,1,1,1,2,3,3,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/Screenshot_20181004-172337.png,http://bigdogshugepaws.com/adoption/available-dogs/butter-crunch-great-dane-mix
22,Cookie Two Step,Great Dane Mix,1,0,1,Pending Adoption,1,1,1,2,3,3,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/Screenshot_20181003-162451.png,http://bigdogshugepaws.com/adoption/available-dogs/cookie-two-step-great-dane-mix
23,Groom's Cake ,Great Dane Mix,1,1,1,Available,1,1,1,2,3,3,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_20181002_152354.jpg,http://bigdogshugepaws.com/adoption/available-dogs/grooms-cake-great-dane-mix
24,Happy Tracks,Great Dane Mix,1,1,1,Pending Adoption,1,1,1,2,3,3,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_20181003_151309.jpg,http://bigdogshugepaws.com/adoption/available-dogs/happy-tracks-great-dane-mix
25,Mint Chocolate Chip,Great Dane Mix,1,1,1,Pending Adoption,1,1,1,2,3,3,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_20181003_153040.jpg,http://bigdogshugepaws.com/adoption/available-dogs/mint-chocolate-chip-great-dane-mix
26,Moollennium Crunch,Great Dane Mix,1,1,1,Available,1,1,1,2,3,3,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_20181003_154506.jpg,http://bigdogshugepaws.com/adoption/available-dogs/moollennium-crunch-great-dane-mix
27,Pecan Praline,Great Dane Mix,1,0,1,Available,1,1,1,2,3,3,1,1,1,http://bigdogshugepaws.com/adoption/available-dogs/pecan-praline-great-dane-mix,http://bigdogshugepaws.com/adoption/available-dogs/pecan-praline-great-dane-mix
28,Rocky Road,Great Dane Mix,1,1,1,Available,1,1,1,2,3,3,1,1,1,http://bigdogshugepaws.com/sites/default/files/u4728/IMG_20181026_152416.jpg,http://bigdogshugepaws.com/adoption/available-dogs/rocky-road-great-dane-mix
29,Eygpt,Boerboel Mastiff ,3,0,0,New,1,3,1,2,5,3,1,2,2,http://bigdogshugepaws.com/sites/default/files/u4728/18429.jpeg,http://bigdogshugepaws.com/adoption/available-dogs/egypt-boerboel-mastiff-new-to-rescue-under-evaluation
